index,na_x,na_y
318,-0.090000,0.480000
319,0.090000,-0.480000
320,0.090000,0.480000
321,0.356000,0.356000
322,-0.356000,0.356000
323,0.356000,-0.356000
324,-0.356000,-0.356000
325,0.149000,-0.477000
326,0.477000,0.149000
327,-0.149000,0.477000
328,0.149000,0.477000
329,-0.477000,0.149000
330,-0.149000,-0.477000
331,-0.477000,-0.149000
332,0.477000,-0.149000
333,-0.423000,-0.282000
334,0.282000,0.423000
335,0.423000,-0.282000
336,0.282000,-0.423000
337,-0.423000,0.282000
338,-0.282000,0.423000
339,0.423000,0.282000
340,-0.282000,-0.423000
341,-0.377000,-0.349000
342,0.349000,-0.377000
343,-0.349000,-0.377000
344,0.377000,0.349000
345,0.377000,-0.349000
346,-0.377000,0.349000
347,-0.349000,0.377000
348,0.349000,0.377000
349,0.472000,0.206000
350,0.206000,0.472000
351,-0.472000,0.206000
352,-0.472000,-0.206000
353,-0.206000,-0.472000
354,0.206000,-0.472000
355,0.472000,-0.206000
356,-0.206000,0.472000
357,-0.523000,0.000000
358,0.000000,0.523000
359,0.000000,-0.523000
360,0.523000,0.000000
361,0.061000,-0.522000
362,-0.522000,0.061000
363,0.522000,-0.061000
364,0.061000,0.522000
365,-0.061000,0.522000
366,0.522000,0.061000
367,-0.061000,-0.522000
368,-0.522000,-0.061000
369,0.332000,-0.416000
370,-0.416000,-0.332000
371,0.332000,0.416000
372,0.416000,0.332000
373,-0.416000,0.332000
374,0.416000,-0.332000
375,-0.332000,-0.416000
376,-0.332000,0.416000
377,0.261000,-0.465000
378,-0.465000,-0.261000
379,0.465000,-0.261000
380,-0.261000,-0.465000
381,-0.465000,0.261000
382,0.261000,0.465000
383,0.465000,0.261000
384,-0.261000,0.465000
385,0.519000,0.122000
386,0.519000,-0.122000
387,0.122000,-0.519000
388,0.122000,0.519000
389,-0.122000,-0.519000
390,-0.519000,0.122000
391,-0.519000,-0.122000
392,-0.122000,0.519000
393,-0.181000,-0.515000
394,-0.515000,0.181000
395,-0.181000,0.515000
396,0.515000,0.181000
397,-0.515000,-0.181000
398,0.181000,0.515000
399,0.181000,-0.515000
400,0.515000,-0.181000
401,0.458000,-0.314000
402,0.314000,0.458000
403,0.314000,-0.458000
404,-0.458000,-0.314000
405,-0.458000,0.314000
406,0.458000,0.314000
407,-0.314000,0.458000
408,-0.314000,-0.458000
409,-0.380000,0.408000
410,-0.380000,-0.408000
411,0.408000,-0.380000
412,-0.408000,-0.380000
413,0.380000,-0.408000
414,0.380000,0.408000
415,-0.408000,0.380000
416,0.408000,0.380000
417,0.239000,-0.508000
418,-0.508000,0.239000
419,0.239000,0.508000
420,-0.239000,0.508000
421,0.508000,0.239000
422,-0.508000,-0.239000
423,-0.239000,-0.508000
424,0.508000,-0.239000
425,-0.565000,0.031000
426,0.031000,-0.565000
427,0.031000,0.565000
428,0.565000,0.031000
429,-0.031000,-0.565000
430,-0.565000,-0.031000
431,0.565000,-0.031000
432,-0.031000,0.565000
433,0.094000,-0.563000
434,0.094000,0.563000
435,-0.563000,0.094000
436,0.563000,-0.094000
437,-0.094000,0.563000
438,0.563000,0.094000
439,-0.094000,-0.563000
440,-0.563000,-0.094000
441,-0.364000,-0.449000
442,-0.449000,0.364000
443,0.364000,0.449000
444,0.449000,-0.364000
445,0.364000,-0.449000
446,-0.449000,-0.364000
447,-0.364000,0.449000
448,0.449000,0.364000
449,-0.500000,0.294000
450,0.500000,-0.294000
451,-0.500000,-0.294000
452,-0.294000,0.500000
453,0.500000,0.294000
454,-0.294000,-0.500000
455,0.294000,-0.500000
456,0.294000,0.500000
457,0.155000,-0.558000
458,-0.155000,0.558000
459,-0.558000,-0.155000
460,0.558000,0.155000
461,0.155000,0.558000
462,0.558000,-0.155000
463,-0.155000,-0.558000
464,-0.558000,0.155000
465,-0.214000,-0.552000
466,-0.552000,0.214000
467,0.552000,-0.214000
468,0.214000,-0.552000
469,-0.214000,0.552000
470,0.552000,0.214000
471,0.214000,0.552000
472,-0.552000,-0.214000
473,-0.411000,-0.439000
474,-0.439000,-0.411000
475,0.411000,0.439000
476,-0.439000,0.411000
477,0.439000,-0.411000
478,0.439000,0.411000
479,-0.411000,0.439000
480,0.411000,-0.439000
481,-0.346000,-0.491000
482,-0.491000,0.346000
483,-0.491000,-0.346000
484,0.346000,-0.491000
485,0.491000,-0.346000
486,0.491000,0.346000
487,-0.346000,0.491000
488,0.346000,0.491000
489,-0.271000,0.544000
490,-0.272000,-0.544000
491,0.272000,-0.544000
492,-0.544000,0.272000
493,0.544000,0.271000
494,-0.544000,-0.272000
495,0.272000,0.544000
496,0.544000,-0.272000
497,0.607000,0.000000
498,0.000000,0.607000
499,-0.607000,0.000000
500,0.000000,-0.607000
501,-0.064000,0.606000
502,-0.606000,-0.064000
503,0.064000,0.606000
504,0.064000,-0.606000
505,-0.064000,-0.606000
506,-0.606000,0.064000
507,0.606000,-0.064000
508,0.606000,0.064000
509,-0.127000,0.602000
510,-0.602000,-0.127000
511,-0.127000,-0.602000
512,0.127000,0.602000
513,0.127000,-0.602000
514,0.602000,0.127000
515,-0.602000,0.127000
516,0.602000,-0.127000
517,0.395000,0.481000
518,0.481000,-0.395000
519,0.481000,0.395000
520,-0.395000,0.481000
521,0.395000,-0.481000
522,-0.395000,-0.481000
523,-0.481000,-0.395000
524,-0.481000,0.395000
525,0.534000,-0.326000
526,0.326000,0.534000
527,-0.534000,0.326000
528,-0.326000,-0.534000
529,-0.326000,0.534000
530,0.534000,0.326000
531,0.326000,-0.534000
532,-0.534000,-0.326000
533,-0.188000,0.596000
534,0.596000,0.188000
535,0.596000,-0.188000
536,-0.596000,-0.188000
537,0.188000,-0.596000
538,0.188000,0.596000
539,-0.188000,-0.596000
540,-0.596000,0.188000
541,-0.588000,0.247000
542,-0.247000,-0.588000
